dim_Order_ID,dim_Order_Date,dim_Order_Quantity,dim_Sales,dim_Discount,dim_Ship_Mode,dim_Customer_Name,dim_Region,dim_Product_Category,dim_Product_Sub_Category,dim_Product_Name,dim_Age,dim_Gender,dim_Store_type,dim_Payment_Mode,last_purchase_date,m_days_since_last_purchase,m_avg_basket_size,dim_Income,m_Total_spending,dim_Season,m_prefered_category,m_cross_channel_shopping,dim_campaign_name,m_cost,m_loyality_points,m_satisfaction_score,dim_repeat_customer
1,08-11-2016,6,261.54,0.04,Regular Air,Muhammed MacIntyre,Nunavut,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",25,Female,e-Shop, Cash,16-06-2016,25,145,72895,8796.42,Spring,Office Supplies,Yes,Product Launch Campaign,54.60111891,9,9.2,0
2,08-11-2016,49,10123.02,0.07,Delivery Truck,Barry French,Nunavut,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",58,Male,e-Shop, E-wallet,01-03-2016,40,252,81104,15179.61,Rainy,Office Supplies,Yes,Content Marketing Campaign,24.21545054,15,7.5,0
3,12-06-2016,27,244.57,0.01,Regular Air,Barry French,Nunavut,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",58,Male,TeleShop,Credit Card,12-07-2014,40,701,81104,15179.61,Spring,Office Supplies,Yes,Partnership Campaign,42.64504226,15,7.5,1
4,11-10-2015,30,4965.7595,0.08,Regular Air,Clay Rozendal,Nunavut,Technology,Telephones and Communication,R380,32,Female,e-Shop,Debit Card,26-12-2014,25,289,70138,6611.4365,Winter,Technology,Yes,Limited-Time Offer Campaign,335.3664671,7,8,0
5,11-10-2015,19,394.27,0.08,Regular Air,Carlos Soltero,Nunavut,Office Supplies,Appliances,Holmes HEPA Air Purifier,48,Female,TeleShop,Debit Card,07-06-2014,28,491,87625,55575.088,Rainy,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,56,9.7,0
6,09-06-2014,21,146.69,0.05,Regular Air,Carlos Soltero,Nunavut,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,48,Female,TeleShop, Cash,23-04-2014,28,47,87625,55575.088,Summer,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,56,9.7,1
7,09-06-2014,12,93.54,0.03,Regular Air,Carl Jackson,Nunavut,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",43,Male,e-Shop, Cash,15-03-2014,25,86,88178,14451.4165,Rainy,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,14,8.8,0
8,09-06-2014,22,905.08,0.09,Regular Air,Carl Jackson,Nunavut,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",43,Male,TeleShop, E-wallet,27-04-2014,25,43,88178,14451.4165,Rainy,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,14,8.8,1
9,09-06-2014,21,2781.82,0.07,Express Air,Monica Federle,Nunavut,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",49,Male,Off_Store,Debit Card,12-02-2014,28,117,84087,6626.16,Rainy,Office Supplies,Yes,Social Media Influencer Campaign,366.3816254,7,9.1,0
10,09-06-2014,44,228.41,0.07,Regular Air,Dorothy Badders,Nunavut,Office Supplies,Paper,Xerox 198,46,Female,e-Shop,Credit Card,09-04-2014,34,61,86725,17521.09,Rainy,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,18,8.8,0
11,09-06-2014,45,196.85,0.01,Regular Air,Neola Schneider,Nunavut,Office Supplies,Paper,Xerox 1980,30,Male,e-Shop,Debit Card,19-04-2014,31,51,67939,6013.87,Spring,Office Supplies,Yes,Content Marketing Campaign,24.21545054,6,8.6,0
12,09-06-2014,32,124.56,0.04,Regular Air,Neola Schneider,Nunavut,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,30,Male,e-Shop, E-wallet,14-05-2014,31,26,67939,6013.87,Summer,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,6,8.6,1
13,15-04-2017,32,716.84,0,Regular Air,Carlos Daly,Nunavut,Office Supplies,Appliances,Holmes HEPA Air Purifier,35,Female,e-Shop,Debit Card,04-02-2017,21,70,92588,33724.7355,Summer,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,34,9.2,0
14,05-12-2016,31,1474.33,0.04,Regular Air,Carlos Daly,Nunavut,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",35,Female,e-Shop, Cash,25-02-2016,21,284,92588,33724.7355,Rainy,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,34,9.2,1
15,22-11-2015,15,80.61,0.02,Regular Air,Claudia Miner,Nunavut,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock¨ Ring Binders",39,Female,e-Shop,Credit Card,29-08-2014,15,450,77988,4561.826,Rainy,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,5,9,0
16,22-11-2015,46,1815.49,0.03,Regular Air,Neola Schneider,Nunavut,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,30,Male,e-Shop,Credit Card,14-07-2015,31,131,67939,6013.87,Spring,Office Supplies,Yes,Partnership Campaign,42.64504226,6,8.6,1
17,11-11-2014,16,248.26,0.07,Regular Air,Allen Rosenblatt,Nunavut,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",28,Female,e-Shop,Debit Card,31-08-2014,23,72,78348,6367.8085,Summer,Office Supplies,Yes,Content Marketing Campaign,24.21545054,6,8.3,0
18,13-05-2014,44,4462.23,0.04,Delivery Truck,Sylvia Foulston,Nunavut,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,53,Male,Flagship store,Credit Card,08-04-2014,30,35,70157,88875.7575,Rainy,Furniture,Yes,Partnership Campaign,42.64504226,89,9.6,0
19,27-08-2014,11,663.784,0.25,Regular Air,Sylvia Foulston,Nunavut,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",53,Male,TeleShop, E-wallet,21-03-2014,30,159,70157,88875.7575,Spring,Furniture,Yes,User-Generated Content Campaign,315.8348624,89,9.6,1
20,27-08-2014,15,834.904,0.06,Regular Air,Jim Radford,Nunavut,Technology,Telephones and Communication,g520,35,Female,TeleShop, Cash,31-03-2014,23,149,71494,35978.139,Winter,Technology,Yes,Product Launch Campaign,54.60111891,36,9,0
21,27-08-2014,18,2480.9205,0.01,Regular Air,Jim Radford,Nunavut,Technology,Telephones and Communication,LX 788,35,Female,TeleShop,Credit Card,23-01-2014,23,216,71494,35978.139,Summer,Technology,Yes,Interactive Campaign,434.782767,36,9,1
22,09-12-2016,13,59.03,0.1,Express Air,Carlos Soltero,Nunavut,Office Supplies,Labels,Avery 52,48,Female,TeleShop, E-wallet,02-10-2016,28,68,87625,55575.088,Spring,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,56,9.7,1
23,09-12-2016,21,97.48,0.05,Regular Air,Carlos Soltero,Nunavut,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,48,Female,TeleShop, Cash,01-02-2016,28,312,87625,55575.088,Spring,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,56,9.7,1
24,16-07-2017,33,511.83,0.1,Regular Air,Carl Ludwig,Nunavut,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",23,Female,Off_Store, Cash,10-05-2015,21,798,80081,14143.66,Winter,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,14,8.8,0
25,25-09-2015,38,184.99,0.05,Regular Air,Carl Ludwig,Nunavut,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",23,Female,e-Shop, E-wallet,17-07-2015,21,70,80081,14143.66,Summer,Office Supplies,Yes,Limited-Time Offer Campaign,335.3664671,14,8.8,1
26,16-01-2016,30,80.9,0.09,Regular Air,Don Miller,Nunavut,Office Supplies,Pens & Art Supplies,Newell 335,60,Male,TeleShop,Credit Card,30-10-2015,23,78,73686,11676.57,Winter,Office Supplies,Yes,Partnership Campaign,42.64504226,12,8.9,0
27,16-01-2016,23,67.24,0.06,Regular Air,Annie Cyprus,Nunavut,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accentª Tank-Style Highlighters,50,Female,e-Shop,Credit Card,04-10-2015,23,104,76058,6874.5905,Winter,Office Supplies,Yes,Social Media Influencer Campaign,366.3816254,7,8.8,0
28,17-09-2015,25,12028.23,0.01,Delivery Truck,Carl Ludwig,Nunavut,Technology,Copiers and Fax,Canon PC940 Copier,23,Female,TeleShop, Cash,03-06-2014,21,471,80081,14143.66,Summer,Office Supplies,Yes,Loyalty Program Campaign,562.9303721,14,8.8,1
29,17-09-2015,28,370.48,0.04,Regular Air,Carlos Soltero,Nunavut,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",48,Female,Off_Store,Debit Card,13-06-2015,28,96,87625,55575.088,Summer,Office Supplies,Yes,Interactive Campaign,434.782767,56,9.7,1
30,17-09-2015,49,278,0.08,Regular Air,Grant Carroll,Nunavut,Office Supplies,Pens & Art Supplies,Col-Erase¨ Pencils with Erasers,18,Male,Flagship store, E-wallet,06-03-2014,28,560,69447,88417.0025,Winter,Office Supplies,Yes,Email Newsletter Promotion,364.2303981,88,9.6,0
31,17-09-2015,10,66.54,0.01,Regular Air,Don Miller,Nunavut,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",60,Male,TeleShop,Credit Card,22-02-2014,23,572,73686,11676.57,Rainy,Office Supplies,Yes,User-Generated Content Campaign,315.8348624,12,8.9,1
32,17-09-2015,21,845.32,0.06,Regular Air,Don Miller,Nunavut,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",60,Male,Off_Store,Debit Card,18-08-2014,23,395,73686,11676.57,Spring,Office Supplies,Yes,Partnership Campaign,42.64504226,12,8.9,1
33,17-09-2015,39,282.07,0.03,Regular Air,Alan Barnes,Nunavut,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,62,Male,Off_Store, Cash,29-01-2015,21,231,67202,17328.9855,Winter,Office Supplies,Yes,Interactive Campaign,434.782767,17,9.3,0
